session,part_label,participant,site,market_bonus,forecast_bonus,risk_bonus,quiz_bonus,total_bonus,showup,total_payment,attempted_trades,executed_trades
n9slx1c3,n9slx1c3_53O_2024-09-30,2slk8ma1,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,118.0,4.0
n9slx1c3,n9slx1c3_53O_2024-09-30,2slk8ma1,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,118.0,4.0
n9slx1c3,n9slx1c3_32X_2024-09-30,k70jlcxk,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,110.0,4.0
n9slx1c3,n9slx1c3_32X_2024-09-30,k70jlcxk,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,110.0,4.0
n9slx1c3,n9slx1c3_62F_2024-09-30,3kifwb2z,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,122.0,10.0
n9slx1c3,n9slx1c3_62F_2024-09-30,3kifwb2z,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,122.0,10.0
n9slx1c3,n9slx1c3_30J_2024-09-30,tx2cdzch,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,120.0,6.0
n9slx1c3,n9slx1c3_30J_2024-09-30,tx2cdzch,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,120.0,6.0
n9slx1c3,n9slx1c3_39I_2024-09-30,l25qvrng,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,124.0,12.0
n9slx1c3,n9slx1c3_39I_2024-09-30,l25qvrng,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,124.0,12.0
n9slx1c3,n9slx1c3_17J_2024-09-30,6t0vcv3d,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,118.0,6.0
n9slx1c3,n9slx1c3_17J_2024-09-30,6t0vcv3d,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,118.0,6.0
n9slx1c3,n9slx1c3_69Z_2024-09-30,lnkqdowe,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,120.0,6.0
n9slx1c3,n9slx1c3_69Z_2024-09-30,lnkqdowe,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,120.0,6.0
n9slx1c3,n9slx1c3_82D_2024-09-30,iy7zp4kb,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,114.0,10.0
n9slx1c3,n9slx1c3_82D_2024-09-30,iy7zp4kb,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,114.0,10.0
n9slx1c3,n9slx1c3_06Q_2024-09-30,ynnpfehe,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,118.0,4.0
n9slx1c3,n9slx1c3_06Q_2024-09-30,ynnpfehe,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,118.0,4.0
n9slx1c3,n9slx1c3_22G_2024-09-30,pjrzzpo0,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,120.0,8.0
n9slx1c3,n9slx1c3_22G_2024-09-30,pjrzzpo0,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,120.0,8.0
91yoqr0i,91yoqr0i_10A_2024-09-30,4bodkwz0,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,112.0,6.0
91yoqr0i,91yoqr0i_10A_2024-09-30,4bodkwz0,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,112.0,6.0
91yoqr0i,91yoqr0i_31J_2024-09-30,q0meb8fr,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,108.0,12.0
91yoqr0i,91yoqr0i_31J_2024-09-30,q0meb8fr,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,108.0,12.0
91yoqr0i,91yoqr0i_64D_2024-09-30,kyr0hdcu,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,102.0,12.0
91yoqr0i,91yoqr0i_64D_2024-09-30,kyr0hdcu,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,102.0,12.0
91yoqr0i,91yoqr0i_11O_2024-09-30,ntn9mt0b,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,100.0,6.0
91yoqr0i,91yoqr0i_11O_2024-09-30,ntn9mt0b,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,100.0,6.0
91yoqr0i,91yoqr0i_10V_2024-09-30,a48rg21e,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,108.0,10.0
91yoqr0i,91yoqr0i_10V_2024-09-30,a48rg21e,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,108.0,10.0
91yoqr0i,91yoqr0i_24Z_2024-09-30,qucp5iqg,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,104.0,10.0
91yoqr0i,91yoqr0i_24Z_2024-09-30,qucp5iqg,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,104.0,10.0
91yoqr0i,91yoqr0i_56W_2024-09-30,zz7ujz64,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,102.0,6.0
91yoqr0i,91yoqr0i_56W_2024-09-30,zz7ujz64,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,102.0,6.0
91yoqr0i,91yoqr0i_91I_2024-09-30,cmyzxjx6,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,96.0,12.0
91yoqr0i,91yoqr0i_91I_2024-09-30,cmyzxjx6,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,96.0,12.0
91yoqr0i,91yoqr0i_88G_2024-09-30,v1pzes19,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,106.0,6.0
91yoqr0i,91yoqr0i_88G_2024-09-30,v1pzes19,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,106.0,6.0
91yoqr0i,91yoqr0i_41J_2024-09-30,wfonsd0s,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,120.0,8.0
91yoqr0i,91yoqr0i_41J_2024-09-30,wfonsd0s,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,120.0,8.0
tnrp4x8n,tnrp4x8n_11C_2024-09-30,lyp7jali,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,120.0,8.0
tnrp4x8n,tnrp4x8n_11C_2024-09-30,lyp7jali,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,120.0,8.0
tnrp4x8n,tnrp4x8n_51Y_2024-09-30,fw5voxye,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,102.0,16.0
tnrp4x8n,tnrp4x8n_51Y_2024-09-30,fw5voxye,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,102.0,16.0
tnrp4x8n,tnrp4x8n_74L_2024-09-30,sll8wt0g,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,124.0,12.0
tnrp4x8n,tnrp4x8n_74L_2024-09-30,sll8wt0g,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,124.0,12.0
tnrp4x8n,tnrp4x8n_33T_2024-09-30,xir2bxi8,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,116.0,12.0
tnrp4x8n,tnrp4x8n_33T_2024-09-30,xir2bxi8,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,116.0,12.0
tnrp4x8n,tnrp4x8n_02A_2024-09-30,wf3e1c1j,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,100.0,8.0
tnrp4x8n,tnrp4x8n_02A_2024-09-30,wf3e1c1j,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,100.0,8.0
tnrp4x8n,tnrp4x8n_15G_2024-09-30,ifoea8bp,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,122.0,10.0
tnrp4x8n,tnrp4x8n_15G_2024-09-30,ifoea8bp,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,122.0,10.0
tnrp4x8n,tnrp4x8n_53Q_2024-09-30,dzldtjsq,Lab,0.0,0.0,0.0,0.0,0.0,20.0,20.0,124.0,16.0
